Frame ID,Media Owner,Format,Address,Town,Postcode,Latitude,Longitude,Status
2000113456,75Media,DM6,"The M8 Tower, Glasow (Eastbound)",Paisley,PA3 2SG,55.86301572,-4.42464738,Live
2000113457,75Media,DM6,"The M8 Tower, Glasgow (Westbound)",Paisley,PA3 2SG,55.86301113,-4.42458567,Live
2000196026,75Media,DM6,New Craven Gate Leeds M621,Leeds,LS11 5NF,53.78295413,-1.54090941,Live
2000214431,75Media,D48,Shorehead Rounabout (A629),Huddersfield,HD1 2QB,53.64524909,-1.77778508,Live
2000214432,75Media,DM6,Broadway (A38),Bridgwater,TA6 5AR,51.1285905,-2.99777358,Live
2000214433,75Media,D96,Western Avenue Westbound (A40),Acton,W3 0BF,51.5265001,-0.27968703,Live
2000214434,75Media,D96,Western Avenue Eastbound (A40),Acton,W3 0BF,51.52650083,-0.27967946,Live
2000214435,75Media,D48,1 Canal Road (A6037),Bradford,BD2 1AP,53.81066732,-1.75749486,Live
2000214436,75Media,D48,96 Geldard Road (A62),Batley,WF17 9LP,53.73963193,-1.65245976,Live
2000215934,75Media,D48,1260 Kingsbury Road,Birmingham,B35 6AG,52.52690909,-1.78607544,Live
2000215935,75Media,D48,Walsall Road (Southbound),Wolverhampton,WS10 8NA,52.57484522,-2.01811861,Live
2000215937,75Media,D48,Whitehall Road,Leeds,LS12 6EP,53.78547492,-1.5776389,Live
2000215938,75Media,D48,223 Bowling Back Lane,Bradford,BD4 8SJ,53.78685128,-1.73097978,Live
2000215939,75Media,D48,2 Newmarket Street,Consett,DH8 5LQ,54.85386398,-1.8346651,Live
2000215940,75Media,D48,Petershill Road,Glasgow North,G21 4RS,55.87727426,-4.23086269,Live
2000215941,75Media,D48,15 Seafield Road (Northbound),Edinburgh,EH15 1EB,55.958838,-3.1242792,Live
2000215942,75Media,D48,15 Seafield Road (Southbound),Edinburgh,EH15 1EB,55.9587507,-3.1241988,Live
2000215943,75Media,D48,97 Clepington Road (Eastbound),Dundee,DD4 7DF,56.477445,-2.9592295,Live
2000215944,75Media,D48,97 Clepington Road (Westbound),Dundee,DD4 7DF,56.4774467,-2.9591702,Live
2000215945,75Media,D48,875 Harrow Road,Kensal Green,NW10 5NG,51.5321431,-0.2379537,Live
2000215946,75Media,D48,457 Manchester Road,Stockport,SK4 5DJ,53.42938471,-2.17828517,Live
2000215947,75Media,D48,297 Willenhall Road,Wolverhampton,WV1 2HY,52.58353242,-2.09305536,Live
2000215949,75Media,D48,95 Bowes Road,Palmers Green,N13 4RU,51.6122656,-0.11825047,Live
2000215950,75Media,D48,"Dartmouth Park Hill, Islington",Kentish Town,NW5 1HL,51.5580215,-0.1390961,Live
2000215951,75Media,D48,212 Gallowgate,Glasgow North,G1 5DS,55.8554953,-4.2381834,Live
2000215952,75Media,D48,Hamilton Road c/o New Road,Cambuslang,G72 7PU,55.81113315,-4.13756815,Live
2000215953,75Media,D48,Mucklow Hill,Halesowen,B62 8DL,52.45445884,-2.03914867,Live
2000215954,75Media,D48,1 Harraby Green Road,Carlisle,CA1 2QA,54.88303617,-2.91553596,Live
2000215955,75Media,D48,Hulme Road heading to Etihad Stadium,Manchester,M40 8AG,53.49575587,-2.21004004,Live
2000215956,75Media,D48,87 Stanningley Road,Leeds,LS12 3NW,53.8010946,-1.5999496,Live
2000215957,75Media,D48,58 Fore Street,Edmonton,N18 2SS,51.6103792,-0.0655101,Live
2000215958,75Media,D48,238 Huddersfield Road,Mirfield,WF14 9PY,53.6768517,-1.7020963,Live
2000215959,75Media,D48,1 North Street,Grantham,NG31 6NU,52.915001,-0.6442226,Live
2000215960,75Media,D48,Weir Street c/o Brick Lane,Paisley,PA3 4AE,55.8479452,-4.4204859,Live
2000215961,75Media,D48,144 High Street,Connah's Quay,CH5 4DQ,53.21677644,-3.05085736,Live
2000215962,75Media,D48,136 Oxford Street,Wolverhampton,WV14 7DP,52.56243206,-2.06491162,Live
2000215963,75Media,D48,Kings Road opp Wharfdale Road,Birmingham,B11 2DE,52.4543362,-1.8378577,Live
2000215964,75Media,D48,"88 High Street, Staple Hill",Bristol,BS16 5HL,51.48111857,-2.50899377,Live
2000215965,75Media,D48,1093 Kingsbury Road (Northbound),Birmingham,B35 6AH,52.5208178,-1.79702559,Live
2000215966,75Media,D48,1093 Kingsbury Road (Southbound),Birmingham,B35 6AH,52.52083224,-1.7969934,Live
2000215967,75Media,D48,166 Bromford Lane,Birmingham,B24 8DE,52.5098592,-1.8332754,Live
2000215968,75Media,D48,Hendon Court House (Southbound),Hendon,NW9 7BY,51.5815847,-0.2448587,Live
2000215969,75Media,D48,Hendon Court House (Northbound),Hendon,NW9 7BY,51.5815668,-0.2448411,Live
2000216145,75Media,D48,2234 London Road,Glasgow North,G32 8YG,55.83636148,-4.15807257,Live
2000256312,75Media,D48,A58 Heap Bridge,Bury,BL9 7HR,53.5913305,-2.2654696,Live
2000256313,75Media,D48,Mile End Road adj Ferry Port,Portsmouth,PO2 8RU,50.81104999,-1.08668166,Live
2000256314,75Media,D48,456 Chorley Road,Swinton Pendlebury,M27 9RH,53.5168268,-2.3511907,Live
2000256315,75Media,D48,A570 Dentons Green Lane,St Helens,WA10 2QF,53.4572969,-2.7475102,Live
2000256316,75Media,D48,"4 New Hay Road, facing Wakefield Road",Bradford,BD4 7HY,53.7824935,-1.7341981,Live
2000256317,75Media,D48,"New Cleveland Street, Jenning Street",Hull,HU8 7AN,53.7512904,-0.3292816,Live
2000256318,75Media,D48,"A665,  Chancellor Lane",Manchester,M12 5FX,53.4752108,-2.2178818,Live
2000256319,75Media,D48,331 Prescot Road,Liverpool,L13 8BS,53.4149724,-2.926773,Live
2000256320,75Media,D48,Pedmore Road,Dudley,DY5 1TH,52.48631,-2.10732,Live
